Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Guinsuan MPA,21.22,9,12.87,4.29,11.33,31.12,16.93,25.51,21.67,9,23.79,7.93,3.38,39.95,13.74,29.6,11.78,9,11.39,3.8,3.02,20.53,7.98,15.57,31.56,9,19.4,6.47,16.65,46.47,25.09,38.02,61.78,9,80.96,26.99,0.0,124.01,34.79,88.77,148.0,9,90.98,30.33,78.06,217.94,117.67,178.33,95.33,9,81.92,27.31,32.36,158.3,68.03,122.64,15.25,9,21.02,7.01,0.0,31.4,8.24,22.25,12.74,9,19.56,6.52,0.0,27.78,6.22,19.26
Winter 17/18,Guinsuan MPA,16.5,4,2.65,1.32,12.29,20.71,15.18,17.82,16.75,4,11.73,5.86,0.0,35.41,10.89,22.61,6.25,4,4.92,2.46,0.0,14.09,3.79,8.71,75.0,4,94.09,47.04,0.0,224.72,27.96,122.04,35.75,4,50.87,25.44,0.0,116.7,10.31,61.19,150.25,4,87.54,43.77,10.96,289.54,106.48,194.02,59.75,4,33.65,16.82,6.21,113.29,42.93,76.57,16.73,4,25.91,12.95,0.0,57.95,3.77,29.68,1.98,4,1.29,0.64,0.0,4.02,1.33,2.62
Spring 2018,Guinsuan MPA,21.75,8,17.56,6.21,7.07,36.43,15.54,27.96,41.12,8,16.72,5.91,27.15,55.1,35.21,47.04,9.75,8,6.02,2.13,4.72,14.78,7.62,11.88,42.38,8,28.89,10.21,18.22,66.53,32.16,52.59,66.5,8,69.66,24.63,8.26,124.74,41.87,91.13,181.5,8,89.09,31.5,107.02,255.98,150.0,213.0,128.5,8,85.58,30.26,56.96,200.04,98.24,158.76,7.07,8,3.38,1.2,4.24,9.9,5.88,8.27,5.18,8,3.36,1.19,2.37,7.99,3.99,6.37
Summer 2018,Guinsuan MPA,32.64,11,29.25,8.82,12.99,52.29,23.82,41.46,31.18,11,26.48,7.99,13.39,48.97,23.2,39.17,12.0,11,8.4,2.53,6.36,17.64,9.47,14.53,30.91,11,17.39,5.24,19.22,42.59,25.67,36.15,70.18,11,51.39,15.5,35.65,104.71,54.69,85.68,176.91,11,92.12,27.78,115.02,238.8,149.13,204.69,105.09,11,72.27,21.79,56.54,153.64,83.3,126.88,9.26,11,5.01,1.51,5.89,12.63,7.75,10.77,5.68,11,3.65,1.1,3.23,8.13,4.58,6.78
Autumn 2018,Guinsuan MPA,51.33,6,35.13,14.34,14.46,88.2,36.99,65.68,50.83,6,15.35,6.27,34.72,66.95,44.56,57.1,21.5,6,14.99,6.12,5.77,37.23,15.38,27.62,106.67,6,63.69,26.0,39.83,173.51,80.66,132.67,156.83,6,141.35,57.71,8.5,305.17,99.13,214.54,387.17,6,186.48,76.13,191.46,582.87,311.03,463.3,248.33,6,176.98,72.25,62.6,434.07,176.08,320.59,22.51,6,18.81,7.68,2.77,42.24,14.83,30.19,15.61,6,14.18,5.79,0.73,30.49,9.82,21.4
Winter 18/19,Guinsuan MPA,53.0,6,26.42,10.79,25.27,80.73,42.21,63.79,60.67,6,29.95,12.23,29.23,92.1,48.44,72.89,30.17,6,18.38,7.5,10.88,49.45,22.66,37.67,85.0,6,56.38,23.02,25.84,144.16,61.98,108.02,231.5,6,240.33,98.12,0.0,483.71,133.38,329.62,460.33,6,293.58,119.85,152.24,768.42,340.48,580.19,306.83,6,224.97,91.84,70.75,542.92,214.99,398.68,21.19,6,13.99,5.71,6.51,35.88,15.48,26.9,14.77,6,9.8,4.0,4.49,25.05,10.77,18.77
Spring 2019,Guinsuan MPA,49.62,8,31.9,11.28,22.95,76.3,38.35,60.9,49.75,8,36.94,13.06,18.87,80.63,36.69,62.81,25.75,8,26.03,9.2,3.99,47.51,16.55,34.95,48.38,8,31.83,11.25,21.77,74.98,37.12,59.63,194.88,8,334.56,118.29,0.0,474.58,76.59,313.16,368.38,8,423.33,149.67,14.47,722.28,218.71,518.04,244.75,8,362.04,128.0,0.0,547.43,116.75,372.75,13.15,8,17.07,6.03,0.0,27.42,7.12,19.19,9.88,8,14.81,5.23,0.0,22.26,4.65,15.12
Summer 2019,Guinsuan MPA,44.5,8,30.79,10.89,18.76,70.24,33.61,55.39,34.62,8,25.3,8.94,13.48,55.77,25.68,43.57,22.0,8,15.66,5.54,8.91,35.09,16.46,27.54,62.0,8,40.04,14.16,28.52,95.48,47.84,76.16,50.25,8,45.86,16.21,11.91,88.59,34.04,66.46,213.38,8,97.88,34.61,131.55,295.2,178.77,247.98,93.75,8,60.85,21.51,42.88,144.62,72.24,115.26,11.64,8,10.32,3.65,3.01,20.26,7.99,15.29,8.31,8,8.78,3.11,0.97,15.66,5.21,11.42
Autumn 2019,Guinsuan MPA,29.0,10,33.87,10.71,4.77,53.23,18.29,39.71,63.5,10,55.02,17.4,24.14,102.86,46.1,80.9,17.9,10,15.91,5.03,6.52,29.28,12.87,22.93,20.8,10,16.42,5.19,9.05,32.55,15.61,25.99,64.8,10,75.65,23.92,10.69,118.91,40.88,88.72,196.0,10,146.42,46.3,91.26,300.74,149.7,242.3,91.4,10,83.32,26.35,31.8,151.0,65.05,117.75,3.84,10,3.89,1.23,1.06,6.62,2.61,5.07,2.14,10,3.53,1.12,0.0,4.67,1.03,3.26
Winter 19/20,Guinsuan MPA,23.29,7,7.59,2.87,16.27,30.3,20.42,26.15,50.71,7,24.29,9.18,28.25,73.18,41.53,59.89,17.86,7,13.56,5.12,5.32,30.4,12.73,22.98,72.0,7,87.93,33.24,0.0,153.33,38.76,105.24,136.71,7,143.89,54.39,3.64,269.79,82.33,191.1,300.57,7,242.7,91.73,76.11,525.03,208.84,392.3,167.43,7,154.39,58.35,24.64,310.21,109.08,225.78,8.16,7,6.59,2.49,2.07,14.26,5.67,10.65,5.31,7,5.91,2.23,0.0,10.77,3.07,7.54
